mark_ref	matt_ref	score	pair_classes	lemma_insertions	lemma_deletions	lemma_replacements	inserted_lemmas	deleted_lemmas	moved_lemmas	mark_text	matt_text
Mark 6:5	Matt 13:58	0.200443	mark_expands;substitution;reordering	0	2	8	ποιεω;πολυς;δια;απιστια;αυτος	δυναμαι;ποιεω;ουδεις;ει;μη;ολιγος;αρρωστος;επιτιθημι;χειρ;θεραπευω	ποιεω	καὶ οὐκ ἐδύνατο ἐκεῖ ⸂ποιῆσαι οὐδεμίαν δύναμιν⸃, εἰ μὴ ὀλίγοις ἀρρώστοις ἐπιθεὶς τὰς χεῖρας ἐθεράπευσεν·	καὶ οὐκ ἐποίησεν ἐκεῖ δυνάμεις πολλὰς διὰ τὴν ἀπιστίαν αὐτῶν.
Mark 6:14	Matt 14:2	0.308781	mark_expands;substitution;reordering	1	12	9	ο;παις;αυτος;ουτος;ειμι;βαπτιστης;αυτος;απο;ο;ενεργεω	και;ακουω;ο;βασιλευς;ηρωδης;φανερος;γαρ;γινομαι;ο;ονομα;αυτος;οτι;βαπτιζω;εκ;ενεργεω	αυτος;ενεργεω;ο	Καὶ ἤκουσεν ὁ βασιλεὺς Ἡρῴδης, φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ, καὶ ⸀ἔλεγον ὅτι Ἰωάννης ὁ βαπτίζων ⸂ἐγήγερται ἐκ νεκρῶν⸃, καὶ διὰ τοῦτο ἐνεργοῦσιν αἱ δυνάμεις ἐν αὐτῷ·	καὶ εἶπεν τοῖς παισὶν αὐτοῦ· Οὗτός ἐστιν Ἰωάννης ὁ βαπτιστής· αὐτὸς ἠγέρθη ἀπὸ τῶν νεκρῶν, καὶ διὰ τοῦτο αἱ δυνάμεις ἐνεργοῦσιν ἐν αὐτῷ.
Mark 6:17	Matt 14:3	0.682852	mark_expands;reordering	2	6	1	ο;και;αποτιθημι	αυτος;ο;αποστελλω;και;οτι;αυτος;γαμεω	και;ο	Αὐτὸς γὰρ ὁ Ἡρῴδης ἀποστείλας ἐκράτησεν τὸν Ἰωάννην καὶ ἔδησεν αὐτὸν ἐν φυλακῇ διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ, ὅτι αὐτὴν ἐγάμησεν·	Ὁ γὰρ Ἡρῴδης κρατήσας τὸν Ἰωάννην ἔδησεν ⸀αὐτὸν καὶ ⸂ἐν φυλακῇ ἀπέθετο⸃ διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ,
Mark 6:18	Matt 14:4	0.550563	mark_expands;substitution	1	3	5	αυτος;αυτος	ο;ηρωδης;οτι;ο;γυνη;ο;αδελφος;συ		ἔλεγεν γὰρ ὁ Ἰωάννης τῷ Ἡρῴδῃ ὅτι Οὐκ ἔξεστίν σοι ἔχειν τὴν γυναῖκα τοῦ ἀδελφοῦ σου.	ἔλεγεν γὰρ ⸂αὐτῷ ὁ Ἰωάννης⸃· Οὐκ ἔξεστίν σοι ἔχειν αὐτήν·
Mark 6:19	Matt 14:5	0.205655	mark_expands;substitution;reordering	0	5	8	φοβεομαι;ο;οχλος;οτι;ως;προφητης;αυτος;εχω	ο;δε;ηρωδιας;ενεχω;αυτος;και;ου;δυναμαι	αυτος;ο	ἡ δὲ Ἡρῳδιὰς ἐνεῖχεν αὐτῷ καὶ ἤθελεν αὐτὸν ἀποκτεῖναι, καὶ οὐκ ἠδύνατο·	καὶ θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν ὄχλον, ὅτι ὡς προφήτην αὐτὸν εἶχον.
Mark 6:22	Matt 14:6	0.298483	mark_expands;substitution;reordering	0	17	9	γενεσια;δε;γινομαι;ο;ηρωδης;ορχεομαι;εν;ο;μεσος	και;εισερχομαι;αυτος;και;ορχεομαι;και;ο;συνανακειμαι;λεγω;ο;βασιλευς;ο;κορασιον;αιτεω;εγω;ος;εαν;θελω;και;διδωμι;συ	ο;ορχεομαι	καὶ εἰσελθούσης τῆς θυγατρὸς ⸂αὐτῆς τῆς⸃ Ἡρῳδιάδος καὶ ὀρχησαμένης ⸂καὶ ἀρεσάσης⸃ τῷ Ἡρῴδῃ καὶ τοῖς συνανακειμένοις, ⸂εἶπεν ὁ βασιλεὺς⸃ τῷ κορασίῳ· Αἴτησόν με ὃ ἐὰν θέλῃς, καὶ δώσω σοι·	⸂γενεσίοις δὲ γενομένοις⸃ τοῦ Ἡρῴδου ὠρχήσατο ἡ θυγάτηρ τῆς Ἡρῳδιάδος ἐν τῷ μέσῳ καὶ ἤρεσεν τῷ Ἡρῴδῃ,
Mark 6:23	Matt 14:7	0.169733	mark_expands;substitution;reordering	1	9	4	οθεν;μετα;ορκος;ομολογεω;διδωμι	και;ομνυω;τις;εγω;διδωμι;συ;εως;ημισυς;ο;βασιλεια;εγω	διδωμι	καὶ ὤμοσεν ⸀αὐτῇ· ⸂Ὅ τι⸃ ἐάν με αἰτήσῃς δώσω σοι ἕως ἡμίσους τῆς βασιλείας μου.	ὅθεν μετὰ ὅρκου ὡμολόγησεν αὐτῇ δοῦναι ὃ ⸀ἐὰν αἰτήσηται.
Mark 6:25	Matt 14:8	0.293486	mark_expands;substitution	2	6	6	δε;προβιβαζω;υπο;ο;μητηρ;αυτος;φημι;ωδε	και;εισερχομαι;ευθυς;μετα;σπουδη;προς;βασιλευς;αιτεω;λεγω;θελω;ινα;εξαυτης		καὶ εἰσελθοῦσα ⸀εὐθὺς μετὰ σπουδῆς πρὸς τὸν βασιλέα ᾐτήσατο λέγουσα· Θέλω ἵνα ⸂ἐξαυτῆς δῷς μοι⸃ ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.	ἡ δὲ προβιβασθεῖσα ὑπὸ τῆς μητρὸς αὐτῆς· Δός μοι, φησίν, ὧδε ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.
Mark 6:26	Matt 14:9	0.181739	substitution	0	0	7	λυπεω;συνανακειμαι;κελευω;διδωμι	περιλυπος;γινομαι;ανακειμαι;ου;θελω;αθετεω;αυτος		καὶ περίλυπος γενόμενος ὁ βασιλεὺς διὰ τοὺς ὅρκους καὶ τοὺς ⸀ἀνακειμένους οὐκ ἠθέλησεν ⸂ἀθετῆσαι αὐτήν⸃·	καὶ ⸂λυπηθεὶς ὁ βασιλεὺς διὰ⸃ τοὺς ὅρκους καὶ τοὺς συνανακειμένους ἐκέλευσεν δοθῆναι,
Mark 6:27	Matt 14:10	0.166225	substitution;reordering	0	0	13	πεμπω;αποκεφαλιζω;ιωαννης	ευθυς;αποστελλω;βασιλευς;σπεκουλατωρ;επιτασσω;φερω;ο;κεφαλη;αυτος;και;απερχομαι;αποκεφαλιζω;αυτος	αποκεφαλιζω	καὶ ⸀εὐθὺς ἀποστείλας ὁ βασιλεὺς σπεκουλάτορα ἐπέταξεν ⸀ἐνέγκαι τὴν κεφαλὴν αὐτοῦ. ⸀καὶ ἀπελθὼν ἀπεκεφάλισεν αὐτὸν ἐν τῇ φυλακῇ	καὶ πέμψας ἀπεκεφάλισεν ⸀τὸν Ἰωάννην ἐν τῇ φυλακῇ·
Mark 6:28	Matt 14:11	0.817212	substitution	0	1	4	φερω	αυτος;ο;κορασιον;διδωμι;αυτος		καὶ ἤνεγκεν τὴν κεφαλὴν αὐτοῦ ἐπὶ πίνακι καὶ ἔδωκεν αὐτὴν τῷ κορασίῳ, καὶ τὸ κοράσιον ἔδωκεν αὐτὴν τῇ μητρὶ αὐτῆς.	καὶ ἠνέχθη ἡ κεφαλὴ αὐτοῦ ἐπὶ πίνακι καὶ ἐδόθη τῷ κορασίῳ, καὶ ἤνεγκεν τῇ μητρὶ αὐτῆς.
Mark 6:29	Matt 14:12	0.291481	substitution;reordering	2	2	5	προσερχομαι;και;θαπτω;ερχομαι;απαγγελλω;ο;ιησους	ακουω;ερχομαι;και;τιθημι;αυτος;εν;μνημειον	ερχομαι;και	καὶ ἀκούσαντες οἱ μαθηταὶ αὐτοῦ ἦλθον καὶ ἦραν τὸ πτῶμα αὐτοῦ καὶ ἔθηκαν αὐτὸ ἐν μνημείῳ.	καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἦραν τὸ ⸀πτῶμα καὶ ἔθαψαν ⸀αὐτόν, καὶ ἐλθόντες ἀπήγγειλαν τῷ Ἰησοῦ.
Mark 6:32	Matt 14:13	0.332866	matt_expands;substitution;reordering	10	1	6	ακουω;δε;ο;ιησους;αναχωρεω;εκειθεν;και;ακουω;ο;οχλος;ακολουθεω;αυτος;πεζη;απο;ο;πολις	και;απερχομαι;ο	και;ο	καὶ ἀπῆλθον ⸂ἐν τῷ πλοίῳ εἰς ἔρημον τόπον⸃ κατʼ ἰδίαν.	⸂Ἀκούσας δὲ⸃ ὁ Ἰησοῦς ἀνεχώρησεν ἐκεῖθεν ἐν πλοίῳ εἰς ἔρημον τόπον κατʼ ἰδίαν· καὶ ἀκούσαντες οἱ ὄχλοι ἠκολούθησαν αὐτῷ πεζῇ ἀπὸ τῶν πόλεων.
Mark 6:34	Matt 14:14	0.352508	mark_expands;substitution	0	8	3	θεραπευω;ο;αρρωστος	οτι;ειμι;ως;προβατον;μη;εχω;ποιμην;αρχω;διδασκω;πολυς		καὶ ἐξελθὼν ⸀εἶδεν πολὺν ὄχλον, καὶ ἐσπλαγχνίσθη ἐπʼ ⸀αὐτοὺς ὅτι ἦσαν ὡς πρόβατα μὴ ἔχοντα ποιμένα, καὶ ἤρξατο διδάσκειν αὐτοὺς πολλά.	καὶ ⸀ἐξελθὼν εἶδεν πολὺν ὄχλον, καὶ ἐσπλαγχνίσθη ἐπʼ αὐτοῖς καὶ ἐθεράπευσεν τοὺς ἀρρώστους αὐτῶν.
Mark 6:35	Matt 14:15	0.413327	substitution;reordering	2	2	16	οψια;δε;ο;ωρα;παρερχομαι;απολυω;ο;οχλος;ινα;απερχομαι;εις;ο;κωμη;αγοραζω;εαυτου;βρωμα	και;ηδη;ωρα;πολυς;αυτος;οτι;ωρα;πολυς	ωρα	Καὶ ἤδη ὥρας πολλῆς γενομένης προσελθόντες αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ἔλεγον ὅτι Ἔρημός ἐστιν ὁ τόπος, καὶ ἤδη ὥρα πολλή·	ὀψίας δὲ γενομένης προσῆλθον αὐτῷ οἱ ⸀μαθηταὶ λέγοντες· Ἔρημός ἐστιν ὁ τόπος καὶ ἡ ὥρα ἤδη παρῆλθεν· ἀπόλυσον τοὺς ὄχλους, ἵνα ἀπελθόντες εἰς τὰς κώμας ἀγοράσωσιν ἑαυτοῖς βρώματα.
Mark 6:37	Matt 14:16	0.221946	mark_expands;reordering	4	12	1	ιησους;ου;χρεια;εχω;απερχομαι	αποκρινομαι;και;λεγω;αυτος;απερχομαι;αγοραζω;δηναριον;διακοσιοι;αρτος;και;διδωμι;αυτος;εσθιω	απερχομαι	ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Δότε αὐτοῖς ὑμεῖς φαγεῖν. καὶ λέγουσιν αὐτῷ· Ἀπελθόντες ἀγοράσωμεν δηναρίων διακοσίων ἄρτους καὶ ⸀δώσομεν αὐτοῖς φαγεῖν;	ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· Οὐ χρείαν ἔχουσιν ἀπελθεῖν· δότε αὐτοῖς ὑμεῖς φαγεῖν.
Mark 6:38	Matt 14:17	0.404611	mark_expands;reordering	4	6	1	ου;ωδε;ει;μη;πεντε	ποσος;υπαγω;οραω;και;γινωσκω;λεγω;πεντε	πεντε	ὁ δὲ λέγει αὐτοῖς· Πόσους ⸂ἔχετε ἄρτους⸃; ⸀ὑπάγετε ἴδετε. καὶ γνόντες λέγουσιν· Πέντε, καὶ δύο ἰχθύας.	οἱ δὲ λέγουσιν αὐτῷ· Οὐκ ἔχομεν ὧδε εἰ μὴ πέντε ἄρτους καὶ δύο ἰχθύας.
Mark 6:41	Matt 14:19	0.453166	matt_expands;substitution;reordering	7	5	10	κελευω;ο;οχλος;ανακλινω;επι;ο;χορτος;κλαω;αρτος;ο;δε;μαθητης;ο;οχλος	κατακλαω;ο;αρτος;και;αυτος;ινα;παρατιθημι;αυτος;και;δυο;ιχθυς;μεριζω;πας	αρτος;ο	καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν.	καὶ κελεύσας τοὺς ὄχλους ἀνακλιθῆναι ἐπὶ ⸂τοῦ χόρτου⸃, λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κλάσας ἔδωκεν τοῖς μαθηταῖς τοὺς ἄρτους οἱ δὲ μαθηταὶ τοῖς ὄχλοις.
Mark 6:43	Matt 14:20	0.351974	matt_expands;substitution;reordering	8	0	5	και;εσθιω;πας;και;χορταζω;ο;περισσευω;ο;πληρης	πληρωμα;και;απο;ο;ιχθυς	και;ο	καὶ ἦραν ⸂κλάσματα δώδεκα κοφίνων πληρώματα⸃ καὶ ἀπὸ τῶν ἰχθύων.	καὶ ἔφαγον πάντες καὶ ἐχορτάσθησαν, καὶ ἦραν τὸ περισσεῦον τῶν κλασμάτων δώδεκα κοφίνους πλήρεις.
Mark 6:44	Matt 14:21	0.32063	matt_expands;substitution;reordering	9	0	7	ο;δε;εσθιω;ειμι;ανηρ;ωσει;πεντακισχιλιοι;χωρις;γυνη;παιδιον	ειμι;ο;εσθιω;ο;αρτος;πεντακισχιλιοι;ανηρ	ανηρ;ειμι;εσθιω;ο;πεντακισχιλιοι	καὶ ἦσαν οἱ φαγόντες ⸂τοὺς ἄρτους⸃ πεντακισχίλιοι ἄνδρες.	οἱ δὲ ἐσθίοντες ἦσαν ἄνδρες ὡσεὶ πεντακισχίλιοι χωρὶς γυναικῶν καὶ παιδίων.
Mark 6:45	Matt 14:22	0.686799	mark_expands;substitution;reordering	1	4	2	ευθεως;αυτος;ος	ευθυς;αυτος;ο;προς;βηθσαιδαν;αυτος	αυτος	Καὶ ⸀εὐθὺς ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον καὶ προάγειν ⸂εἰς τὸ πέραν⸃ πρὸς Βηθσαϊδάν, ἕως αὐτὸς ⸀ἀπολύει τὸν ὄχλον.	Καὶ εὐθέως ⸀ἠνάγκασεν τοὺς μαθητὰς ἐμβῆναι ⸀εἰς πλοῖον καὶ προάγειν αὐτὸν εἰς τὸ πέραν, ἕως οὗ ἀπολύσῃ τοὺς ὄχλους.
Mark 6:47	Matt 14:23	0.204626	matt_expands;substitution;reordering	12	0	12	απολυω;ο;οχλος;αναβαινω;εις;ο;ορος;κατα;ιδιος;προσευχομαι;δε;μονος;εκει	ο;πλοιον;εν;μεσος;ο;θαλασσα;και;αυτος;μονος;επι;ο;γη	μονος;ο	Καὶ ὀψίας γενομένης ἦν τὸ πλοῖον ἐν μέσῳ τῆς θαλάσσης, καὶ αὐτὸς μόνος ἐπὶ τῆς γῆς.	καὶ ἀπολύσας τοὺς ὄχλους ἀνέβη εἰς τὸ ὄρος κατʼ ἰδίαν προσεύξασθαι. ὀψίας δὲ γενομένης μόνος ἦν ἐκεῖ.
Mark 6:48	Matt 14:25	0.448714	mark_expands	1	18	0	δε	και;οραω;αυτος;βασανιζω;εν;ο;ελαυνω;ειμι;γαρ;ο;ανεμος;εναντιος;αυτος;περι;και;θελω;παρερχομαι;αυτος		καὶ ⸀ἰδὼν αὐτοὺς βασανιζομένους ἐν τῷ ἐλαύνειν, ἦν γὰρ ὁ ἄνεμος ἐναντίος ⸀αὐτοῖς, περὶ τετάρτην φυλακὴν τῆς νυκτὸς ἔρχεται πρὸς αὐτοὺς περιπατῶν ἐπὶ τῆς θαλάσσης· καὶ ἤθελεν παρελθεῖν αὐτούς.	τετάρτῃ δὲ φυλακῇ τῆς νυκτὸς ⸀ἦλθεν πρὸς ⸀αὐτοὺς περιπατῶν ἐπὶ ⸂τὴν θάλασσαν⸃.
Mark 6:49	Matt 14:26	0.39845	substitution	1	0	6	μαθητης;ταρασσω;λεγω;απο;ο;φοβος;κραζω	δοκεω;ανακραζω		οἱ δὲ ἰδόντες αὐτὸν ⸂ἐπὶ τῆς θαλάσσης περιπατοῦντα⸃ ἔδοξαν ⸂ὅτι φάντασμά ἐστιν⸃ καὶ ἀνέκραξαν,	⸂οἱ δὲ μαθηταὶ ἰδόντες αὐτὸν⸃ ἐπὶ ⸂τῆς θαλάσσης⸃ περιπατοῦντα ἐταράχθησαν λέγοντες ὅτι Φάντασμά ἐστιν, καὶ ἀπὸ τοῦ φόβου ἔκραξαν.
Mark 6:50	Matt 14:27	0.609172	mark_expands;substitution;reordering	0	4	9	ευθυς;δε;λαλεω;ιησους	πας;γαρ;οραω;και;ταρασσω;δε;ευθυς;λαλεω;μετα;αυτος;και;αυτος	δε;ευθυς;λαλεω	πάντες γὰρ αὐτὸν εἶδον καὶ ἐταράχθησαν. ⸂ὁ δὲ εὐθὺς⸃ ἐλάλησεν μετʼ αὐτῶν, καὶ λέγει αὐτοῖς· Θαρσεῖτε, ἐγώ εἰμι, μὴ φοβεῖσθε.	⸀εὐθὺς δὲ ἐλάλησεν ⸂αὐτοῖς ὁ Ἰησοῦς⸃ λέγων· Θαρσεῖτε, ἐγώ εἰμι· μὴ φοβεῖσθε.
Mark 6:51	Matt 14:32	0.555029	mark_expands	0	9	0		προς;και;και;λιαν;εκ;περισσος;εν;εαυτου;εξιστημι		καὶ ἀνέβη πρὸς αὐτοὺς εἰς τὸ πλοῖον, καὶ ἐκόπασεν ὁ ἄνεμος. καὶ λίαν ⸂ἐκ περισσοῦ⸃ ἐν ἑαυτοῖς ⸀ἐξίσταντο,	καὶ ⸀ἀναβάντων αὐτῶν εἰς τὸ πλοῖον ἐκόπασεν ὁ ἄνεμος.
Mark 6:53	Matt 14:34	0.54469	mark_expands;reordering	1	3	0	ερχομαι	ερχομαι;και;προσορμιζομαι	ερχομαι	Καὶ διαπεράσαντες ⸂ἐπὶ τὴν γῆν ἦλθον εἰς⸃ Γεννησαρὲτ καὶ προσωρμίσθησαν.	Καὶ διαπεράσαντες ἦλθον ⸂ἐπὶ τὴν γῆν εἰς⸃ Γεννησαρέτ.
Mark 6:55	Matt 14:35	0.16154	mark_expands;substitution;reordering	0	5	15	και;επιγινωσκω;αυτος;ο;ανηρ;ο;τοπος;εκεινος;αποστελλω;εις;περιχωρος;προσφερω;αυτος;πας	περιτρεχω;χωρα;αρχω;επι;ο;κραβαττος;περιφερω;οπου;ακουω;οτι;ειμι	ο	⸂περιέδραμον ὅλην τὴν χώραν ἐκείνην καὶ⸃ ἤρξαντο ἐπὶ τοῖς κραβάττοις τοὺς κακῶς ἔχοντας περιφέρειν ὅπου ἤκουον ⸀ὅτι ἐστίν.	καὶ ἐπιγνόντες αὐτὸν οἱ ἄνδρες τοῦ τόπου ἐκείνου ἀπέστειλαν εἰς ὅλην τὴν περίχωρον ἐκείνην, καὶ προσήνεγκαν αὐτῷ πάντας τοὺς κακῶς ἔχοντας,
Mark 6:56	Matt 14:36	0.249669	mark_expands;substitution;reordering	0	20	4	μονος;απτω;διασωζω	και;οπου;αν;εισπορευομαι;εις;κωμη;η;εις;πολις;η;εις;αγρος;εν;ο;αγορα;τιθημι;ο;ασθενεω;καν;απτω;αν;αυτος;σωζω	απτω	καὶ ὅπου ἂν εἰσεπορεύετο εἰς κώμας ἢ ⸂εἰς πόλεις ἢ εἰς⸃ ἀγροὺς ἐν ταῖς ἀγοραῖς ⸀ἐτίθεσαν τοὺς ἀσθενοῦντας, καὶ παρεκάλουν αὐτὸν ἵνα κἂν τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ ἅψωνται· καὶ ὅσοι ἂν ⸀ἥψαντο αὐτοῦ ἐσῴζοντο.	καὶ παρεκάλουν αὐτὸν ἵνα μόνον ἅψωνται τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ· καὶ ὅσοι ἥψαντο διεσώθησαν.
Mark 7:1	Matt 15:1	0.317921	matt_expands;substitution;reordering	3	2	7	τοτε;προσερχομαι;ιησους;απο;ιεροσολυμα;λεγω	και;συναγω;προς;αυτος;τις;ο;ερχομαι;απο;ιεροσολυμα	απο;ιεροσολυμα	Καὶ συνάγονται πρὸς αὐτὸν οἱ Φαρισαῖοι καί τινες τῶν γραμματέων ἐλθόντες ἀπὸ Ἱεροσολύμων	Τότε προσέρχονται τῷ ⸀Ἰησοῦ ἀπὸ Ἱεροσολύμων ⸂Φαρισαῖοι καὶ γραμματεῖς⸃ λέγοντες
Mark 7:3	Matt 15:2	0.300363	matt_expands;substitution;reordering	11	0	15	δια;τις;μαθητης;συ;παραβαινω;ου;γαρ;νιπτω;ο;χειρ;αυτος;οταν;αρτος;εσθιω	γαρ;φαρισαιος;και;πας;ο;ιουδαιος;εαν;μη;πυγμη;νιπτω;ο;χειρ;ου;εσθιω;κρατεω	γαρ;εσθιω;νιπτω;ο;ου;χειρ	οἱ γὰρ Φαρισαῖοι καὶ πάντες οἱ Ἰουδαῖοι ἐὰν μὴ πυγμῇ νίψωνται τὰς χεῖρας οὐκ ἐσθίουσιν, κρατοῦντες τὴν παράδοσιν τῶν πρεσβυτέρων,	Διὰ τί οἱ μαθηταί σου παραβαίνουσιν τὴν παράδοσιν τῶν πρεσβυτέρων; οὐ γὰρ νίπτονται τὰς χεῖρας ⸀αὐτῶν ὅταν ἄρτον ἐσθίωσιν.
Mark 7:9	Matt 15:3	0.35098	substitution;reordering	0	1	9	ο;δε;αποκρινομαι;δια;τις;και;συ;παραβαινω;δια	και;καλως;αθετεω;ινα;τηρεω	και	Καὶ ἔλεγεν αὐτοῖς· Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν ⸀τηρήσητε·	ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Διὰ τί καὶ ὑμεῖς παραβαίνετε τὴν ἐντολὴν τοῦ θεοῦ διὰ τὴν παράδοσιν ὑμῶν;
Mark 7:10	Matt 15:4	0.809514	mark_expands	1	2	1	ο;θεος	μωυσης;συ;συ		Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω·	ὁ γὰρ θεὸς ⸀εἶπεν· Τίμα τὸν πατέρα καὶ τὴν μητέρα, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω·
Mark 7:11	Matt 15:5	0.584297	mark_expands;substitution;reordering	0	4	2	ος;αν	εαν;ανθρωπος;κορβαν;ος;ειμι	ος	ὑμεῖς δὲ λέγετε· Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί· Κορβᾶν, ὅ ἐστιν Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,	ὑμεῖς δὲ λέγετε· Ὃς ἂν εἴπῃ τῷ πατρὶ ἢ τῇ μητρί· Δῶρον ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,
Mark 7:13	Matt 15:6	0.37245	reordering	8	7	0	ου;μη;τιμαω;ο;πατηρ;αυτος;και;δια	ος;παραδιδωμι;και;παρομοιος;τοιουτος;πολυς;ποιεω	και	ἀκυροῦντες τὸν λόγον τοῦ θεοῦ τῇ παραδόσει ὑμῶν ᾗ παρεδώκατε· καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε.	⸀οὐ μὴ ⸀τιμήσει τὸν πατέρα ⸀αὐτοῦ· καὶ ἠκυρώσατε ⸂τὸν λόγον⸃ τοῦ θεοῦ διὰ τὴν παράδοσιν ὑμῶν.
Mark 7:14	Matt 15:10	0.622002	mark_expands	0	3	0		παλιν;εγω;πας		Καὶ προσκαλεσάμενος ⸀πάλιν τὸν ὄχλον ἔλεγεν αὐτοῖς· ⸀Ἀκούσατέ μου πάντες καὶ ⸀σύνετε.	Καὶ προσκαλεσάμενος τὸν ὄχλον εἶπεν αὐτοῖς· Ἀκούετε καὶ συνίετε·
Mark 7:15	Matt 15:11	0.322891	matt_expands;substitution;reordering	10	6	11	ου;εισερχομαι;στομα;αλλα;ο;εκπορευομαι;εκ;ο;στομα;ουτος;κοινοω;ο;ανθρωπος	ουδεις;ειμι;εξωθεν;ανθρωπος;εισπορευομαι;αυτος;ος;δυναμαι;κοινοω;αυτος;αλλα;εκ;ο;ανθρωπος;εκπορευομαι;ειμι;ο	αλλα;ανθρωπος;εκ;εκπορευομαι;κοινοω;ο	οὐδέν ἐστιν ἔξωθεν τοῦ ἀνθρώπου εἰσπορευόμενον εἰς αὐτὸν ὃ δύναται ⸂κοινῶσαι αὐτόν⸃· ἀλλὰ τὰ ⸂ἐκ τοῦ ἀνθρώπου ἐκπορευόμενά⸃ ἐστιν τὰ κοινοῦντα τὸν ⸀ἄνθρωπον.	οὐ τὸ εἰσερχόμενον εἰς τὸ στόμα κοινοῖ τὸν ἄνθρωπον, ἀλλὰ τὸ ἐκπορευόμενον ἐκ τοῦ στόματος τοῦτο κοινοῖ τὸν ἄνθρωπον.
Mark 7:18	Matt 15:16	0.244424	mark_expands;substitution;reordering	0	14	4	ο;δε;ακμην	και;αυτος;ουτως;ου;νοεω;οτι;πας;ο;εξωθεν;εισπορευομαι;εις;ο;ανθρωπος;ου;δυναμαι;αυτος;κοινοω	ο	καὶ λέγει αὐτοῖς· Οὕτως καὶ ὑμεῖς ἀσύνετοί ἐστε; οὐ νοεῖτε ὅτι πᾶν τὸ ἔξωθεν εἰσπορευόμενον εἰς τὸν ἄνθρωπον οὐ δύναται αὐτὸν κοινῶσαι,	ὁ ⸀δὲ εἶπεν· Ἀκμὴν καὶ ὑμεῖς ἀσύνετοί ἐστε;
Mark 7:19	Matt 15:17	0.251821	matt_expands;substitution;reordering	3	2	9	ου;νοεω;πας;ο;στομα;χωρεω;εκβαλλω	ου;αυτος;καρδια;αλλα;ο;εκπορευομαι;καθαριζω;πας;ο;βρωμα	ο;ου;πας	ὅτι οὐκ εἰσπορεύεται αὐτοῦ εἰς τὴν καρδίαν ἀλλʼ εἰς τὴν κοιλίαν, καὶ εἰς τὸν ἀφεδρῶνα ἐκπορεύεται;— ⸀καθαρίζων πάντα τὰ βρώματα.	⸀οὐ νοεῖτε ὅτι πᾶν τὸ εἰσπορευόμενον εἰς τὸ στόμα εἰς τὴν κοιλίαν χωρεῖ καὶ εἰς ἀφεδρῶνα ἐκβάλλεται;
Mark 7:20	Matt 15:18	0.392252	substitution;reordering	0	0	9	ο;εκπορευομαι;στομα;εκ;ο;καρδια;εξερχομαι;κακεινος	λεγω;οτι;ο;ανθρωπος;εκπορευομαι;εκεινος	εκπορευομαι;ο	ἔλεγεν δὲ ὅτι Τὸ ἐκ τοῦ ἀνθρώπου ἐκπορευόμενον ἐκεῖνο κοινοῖ τὸν ἄνθρωπον·	τὰ δὲ ἐκπορευόμενα ἐκ τοῦ στόματος ἐκ τῆς καρδίας ἐξέρχεται, κἀκεῖνα κοινοῖ τὸν ἄνθρωπον.
