mark_ref,matt_ref,macro_block,micro_block,score,wj_content,wj_bigram,sr_content,wj_all,rare_inter,pair_classes,lemma_insertions,lemma_deletions,lemma_replacements,lemma_moved_tokens,common_lemmas,mark_only_lemmas,matt_only_lemmas,mark_variant_note_count,matt_variant_note_count,mark_text,matt_text
Mark 4:34,Matt 13:34,11,14,0.215028,0.292735,0.0,0.25,0.332968,13.087144,reordering,10,9,1,ο;πας,αυτος;λαλεω;ο;παραβολη;πας;χωρις,δε;επιλυω;ιδιος;κατα;μαθητης;ου,εν;ιησους;και;ουδεις;ουτος;οχλος,1,1,"χωρὶς δὲ παραβολῆς οὐκ ἐλάλει αὐτοῖς, κατʼ ἰδίαν δὲ τοῖς ⸂ἰδίοις μαθηταῖς⸃ ἐπέλυεν πάντα.","Ταῦτα πάντα ἐλάλησεν ὁ Ἰησοῦς ἐν παραβολαῖς τοῖς ὄχλοις, καὶ χωρὶς παραβολῆς ⸀οὐδὲν ἐλάλει αὐτοῖς·"
Mark 6:2,Matt 13:54,12,15,0.428874,0.480876,0.209442,0.583333,0.434523,37.173648,mark_expands;substitution;reordering,5,15,5,αυτος;εκπλησσομαι;ο,αυτος;διδασκω;δυναμις;εκπλησσομαι;εν;και;λεγω;ο;ουτος;ποθεν;σοφια;συναγωγη,ακουω;αρχω;γινομαι;δια;διδωμι;πολυς;σαββατον;τις;τοιουτος;χειρ,εις;ερχομαι;πατρις;ωστε,5,0,"καὶ γενομένου σαββάτου ἤρξατο ⸂διδάσκειν ἐν τῇ συναγωγῇ⸃· καὶ ⸀οἱ πολλοὶ ἀκούοντες ἐξεπλήσσοντο λέγοντες· Πόθεν τούτῳ ταῦτα, καὶ τίς ἡ σοφία ἡ δοθεῖσα ⸀τούτῳ, καὶ ⸀αἱ δυνάμεις τοιαῦται διὰ τῶν χειρῶν αὐτοῦ ⸀γινόμεναι;","καὶ ἐλθὼν εἰς τὴν πατρίδα αὐτοῦ ἐδίδασκεν αὐτοὺς ἐν τῇ συναγωγῇ αὐτῶν, ὥστε ἐκπλήσσεσθαι αὐτοὺς καὶ λέγειν· Πόθεν τούτῳ ἡ σοφία αὕτη καὶ αἱ δυνάμεις;"
Mark 6:3,Matt 13:55,12,15,0.365632,0.412915,0.146363,0.5,0.432289,34.823248,matt_expands;substitution;reordering,4,2,20,αυτος;ιουδας;και;ο;ου;υιος,αδελφος;αυτος;ειμι;ιακωβος;ιουδας;και;ο;ου;ουτος;σιμων;τεκτων;υιος,αδελφη;εγω;εν;ιωσης;μαρια;προς;σκανδαλιζω;ωδε,ιωσηφ;λεγω;μαριαμ;μητηρ,3,2,"οὐχ οὗτός ἐστιν ὁ τέκτων, ὁ υἱὸς ⸀τῆς Μαρίας ⸂καὶ ἀδελφὸς⸃ Ἰακώβου καὶ ⸀Ἰωσῆτος καὶ Ἰούδα καὶ Σίμωνος; καὶ οὐκ εἰσὶν αἱ ἀδελφαὶ αὐτοῦ ὧδε πρὸς ἡμᾶς; καὶ ἐσκανδαλίζοντο ἐν αὐτῷ.",οὐχ οὗτός ἐστιν ὁ τοῦ τέκτονος υἱός; ⸀οὐχ ἡ μήτηρ αὐτοῦ λέγεται Μαριὰμ καὶ οἱ ἀδελφοὶ αὐτοῦ Ἰάκωβος καὶ ⸀Ἰωσὴφ καὶ Σίμων καὶ Ἰούδας;
Mark 6:4,Matt 13:57,12,15,0.663822,0.739526,0.394795,0.8,0.723361,37.310409,mark_expands;reordering,6,9,0,αυτος;εν;ιησους;ο,ατιμος;αυτος;ει;ειμι;εν;ιησους;και;λεγω;μη;ο;οικια;ου;πατρις;προφητης,οτι;συγγενης,δε;σκανδαλιζω,2,1,⸂καὶ ἔλεγεν⸃ αὐτοῖς ὁ Ἰησοῦς ὅτι Οὐκ ἔστιν προφήτης ἄτιμος εἰ μὴ ἐν τῇ πατρίδι αὐτοῦ καὶ ἐν τοῖς ⸂συγγενεῦσιν αὐτοῦ⸃ καὶ ἐν τῇ οἰκίᾳ αὐτοῦ.,καὶ ἐσκανδαλίζοντο ἐν αὐτῷ. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· Οὐκ ἔστιν προφήτης ἄτιμος εἰ μὴ ἐν τῇ ⸀πατρίδι καὶ ἐν τῇ οἰκίᾳ αὐτοῦ.
Mark 6:5,Matt 13:58,12,15,0.200443,0.244378,0.0,0.333333,0.238062,16.693463,mark_expands;substitution;reordering,0,2,8,ποιεω,δυναμις;εκει;και;ο;ου;ποιεω,αρρωστος;δυναμαι;ει;επιτιθημι;θεραπευω;μη;ολιγος;ουδεις;χειρ,απιστια;αυτος;δια;πολυς,1,0,"καὶ οὐκ ἐδύνατο ἐκεῖ ⸂ποιῆσαι οὐδεμίαν δύναμιν⸃, εἰ μὴ ὀλίγοις ἀρρώστοις ἐπιθεὶς τὰς χεῖρας ἐθεράπευσεν·",καὶ οὐκ ἐποίησεν ἐκεῖ δυνάμεις πολλὰς διὰ τὴν ἀπιστίαν αὐτῶν.
Mark 6:14,Matt 14:2,13,16,0.308781,0.367618,0.048722,0.454545,0.40263,29.124819,mark_expands;substitution;reordering,1,12,9,αυτος;ενεργεω;ο,αυτος;δια;δυναμις;εγειρω;εν;ενεργεω;ιωαννης;και;λεγω;νεκρος;ο;ουτος,ακουω;βαπτιζω;βασιλευς;γαρ;γινομαι;εκ;ηρωδης;ονομα;οτι;φανερος,απο;βαπτιστης;ειμι;παις,2,0,"Καὶ ἤκουσεν ὁ βασιλεὺς Ἡρῴδης, φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ, καὶ ⸀ἔλεγον ὅτι Ἰωάννης ὁ βαπτίζων ⸂ἐγήγερται ἐκ νεκρῶν⸃, καὶ διὰ τοῦτο ἐνεργοῦσιν αἱ δυνάμεις ἐν αὐτῷ·","καὶ εἶπεν τοῖς παισὶν αὐτοῦ· Οὗτός ἐστιν Ἰωάννης ὁ βαπτιστής· αὐτὸς ἠγέρθη ἀπὸ τῶν νεκρῶν, καὶ διὰ τοῦτο αἱ δυνάμεις ἐνεργοῦσιν ἐν αὐτῷ."
Mark 6:17,Matt 14:3,13,17,0.682852,0.722556,0.448249,0.857143,0.742113,48.274207,mark_expands;reordering,2,6,1,και;ο,αδελφος;αυτος;γαρ;γυνη;δεω;δια;εν;ηρωδης;ηρωδιας;ιωαννης;και;κρατεω;ο;φιλιππος;φυλακη,αποστελλω;γαμεω;οτι,αποτιθημι,0,2,"Αὐτὸς γὰρ ὁ Ἡρῴδης ἀποστείλας ἐκράτησεν τὸν Ἰωάννην καὶ ἔδησεν αὐτὸν ἐν φυλακῇ διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ, ὅτι αὐτὴν ἐγάμησεν·","Ὁ γὰρ Ἡρῴδης κρατήσας τὸν Ἰωάννην ἔδησεν ⸀αὐτὸν καὶ ⸂ἐν φυλακῇ ἀπέθετο⸃ διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ,"
Mark 6:18,Matt 14:4,13,17,0.550563,0.560764,0.349299,0.769231,0.570482,18.669421,mark_expands;substitution,1,3,5,,γαρ;εξεστιν;εχω;ιωαννης;λεγω;ο;ου;συ,αδελφος;γυνη;ηρωδης;οτι,αυτος,0,1,ἔλεγεν γὰρ ὁ Ἰωάννης τῷ Ἡρῴδῃ ὅτι Οὐκ ἔξεστίν σοι ἔχειν τὴν γυναῖκα τοῦ ἀδελφοῦ σου.,ἔλεγεν γὰρ ⸂αὐτῷ ὁ Ἰωάννης⸃· Οὐκ ἔξεστίν σοι ἔχειν αὐτήν·
Mark 6:19,Matt 14:5,13,17,0.205655,0.197093,0.114137,0.333333,0.217628,9.629843,mark_expands;substitution;reordering,0,5,8,αυτος;ο,αποκτεινω;αυτος;θελω;και;ο,δε;δυναμαι;ενεχω;ηρωδιας;ου,εχω;οτι;οχλος;προφητης;φοβεομαι;ως,0,0,"ἡ δὲ Ἡρῳδιὰς ἐνεῖχεν αὐτῷ καὶ ἤθελεν αὐτὸν ἀποκτεῖναι, καὶ οὐκ ἠδύνατο·","καὶ θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν ὄχλον, ὅτι ὡς προφήτην αὐτὸν εἶχον."
Mark 6:22,Matt 14:6,13,18,0.298483,0.370986,0.106771,0.363636,0.321194,32.3537,mark_expands;substitution;reordering,0,17,9,ο;ορχεομαι,αρεσκω;ηρωδης;ηρωδιας;θυγατηρ;και;ο;ορχεομαι,αιτεω;αυτος;βασιλευς;διδωμι;εαν;εγω;εισερχομαι;θελω;κορασιον;λεγω;ος;συ;συνανακειμαι,γενεσια;γινομαι;δε;εν;μεσος,3,1,"καὶ εἰσελθούσης τῆς θυγατρὸς ⸂αὐτῆς τῆς⸃ Ἡρῳδιάδος καὶ ὀρχησαμένης ⸂καὶ ἀρεσάσης⸃ τῷ Ἡρῴδῃ καὶ τοῖς συνανακειμένοις, ⸂εἶπεν ὁ βασιλεὺς⸃ τῷ κορασίῳ· Αἴτησόν με ὃ ἐὰν θέλῃς, καὶ δώσω σοι·","⸂γενεσίοις δὲ γενομένοις⸃ τοῦ Ἡρῴδου ὠρχήσατο ἡ θυγάτηρ τῆς Ἡρῳδιάδος ἐν τῷ μέσῳ καὶ ἤρεσεν τῷ Ἡρῴδῃ,"
Mark 6:23,Matt 14:7,13,18,0.169733,0.225467,0.0,0.222222,0.238285,9.247715,mark_expands;substitution;reordering,1,9,4,διδωμι,αιτεω;αυτος;διδωμι;εαν;ος,βασιλεια;εγω;εως;ημισυς;και;ο;ομνυω;συ;τις,μετα;οθεν;ομολογεω;ορκος,2,1,καὶ ὤμοσεν ⸀αὐτῇ· ⸂Ὅ τι⸃ ἐάν με αἰτήσῃς δώσω σοι ἕως ἡμίσους τῆς βασιλείας μου.,ὅθεν μετὰ ὅρκου ὡμολόγησεν αὐτῇ δοῦναι ὃ ⸀ἐὰν αἰτήσηται.
Mark 6:25,Matt 14:8,13,18,0.293486,0.29637,0.162351,0.454545,0.286229,26.906347,mark_expands;substitution,2,6,6,,βαπτιστης;διδωμι;εγω;επι;ιωαννης;κεφαλη;ο;πιναξ,αιτεω;βασιλευς;εισερχομαι;εξαυτης;ευθυς;θελω;ινα;και;λεγω;μετα;προς;σπουδη,αυτος;δε;μητηρ;προβιβαζω;υπο;φημι;ωδε,2,0,καὶ εἰσελθοῦσα ⸀εὐθὺς μετὰ σπουδῆς πρὸς τὸν βασιλέα ᾐτήσατο λέγουσα· Θέλω ἵνα ⸂ἐξαυτῆς δῷς μοι⸃ ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.,"ἡ δὲ προβιβασθεῖσα ὑπὸ τῆς μητρὸς αὐτῆς· Δός μοι, φησίν, ὧδε ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ."
Mark 6:26,Matt 14:9,13,18,0.181739,0.173982,0.088524,0.285714,0.241735,11.578471,substitution,0,0,7,,βασιλευς;δια;και;ο;ορκος,αθετεω;ανακειμαι;αυτος;γινομαι;θελω;ου;περιλυπος,διδωμι;κελευω;λυπεω;συνανακειμαι,2,1,καὶ περίλυπος γενόμενος ὁ βασιλεὺς διὰ τοὺς ὅρκους καὶ τοὺς ⸀ἀνακειμένους οὐκ ἠθέλησεν ⸂ἀθετῆσαι αὐτήν⸃·,"καὶ ⸂λυπηθεὶς ὁ βασιλεὺς διὰ⸃ τοὺς ὅρκους καὶ τοὺς συνανακειμένους ἐκέλευσεν δοθῆναι,"
Mark 6:27,Matt 14:10,13,18,0.166225,0.189074,0.0,0.285714,0.239989,12.900227,substitution;reordering,0,0,13,αποκεφαλιζω,αποκεφαλιζω;εν;και;ο;φυλακη,απερχομαι;αποστελλω;αυτος;βασιλευς;επιτασσω;ευθυς;κεφαλη;σπεκουλατωρ;φερω,ιωαννης;πεμπω,3,1,καὶ ⸀εὐθὺς ἀποστείλας ὁ βασιλεὺς σπεκουλάτορα ἐπέταξεν ⸀ἐνέγκαι τὴν κεφαλὴν αὐτοῦ. ⸀καὶ ἀπελθὼν ἀπεκεφάλισεν αὐτὸν ἐν τῇ φυλακῇ,καὶ πέμψας ἀπεκεφάλισεν ⸀τὸν Ἰωάννην ἐν τῇ φυλακῇ·
Mark 6:28,Matt 14:11,13,18,0.817212,1.0,0.428848,0.8,1.0,32.885512,substitution,0,1,4,,αυτος;διδωμι;επι;και;κεφαλη;κορασιον;μητηρ;ο;πιναξ;φερω,,,0,0,"καὶ ἤνεγκεν τὴν κεφαλὴν αὐτοῦ ἐπὶ πίνακι καὶ ἔδωκεν αὐτὴν τῷ κορασίῳ, καὶ τὸ κοράσιον ἔδωκεν αὐτὴν τῇ μητρὶ αὐτῆς.","καὶ ἠνέχθη ἡ κεφαλὴ αὐτοῦ ἐπὶ πίνακι καὶ ἐδόθη τῷ κορασίῳ, καὶ ἤνεγκεν τῇ μητρὶ αὐτῆς."
Mark 6:29,Matt 14:12,13,18,0.291481,0.341763,0.08293,0.4,0.369552,18.567956,substitution;reordering,2,2,5,ερχομαι;και,αιρω;αυτος;ερχομαι;και;μαθητης;ο;πτωμα,ακουω;εν;μνημειον;τιθημι,απαγγελλω;θαπτω;ιησους;προσερχομαι,0,2,καὶ ἀκούσαντες οἱ μαθηταὶ αὐτοῦ ἦλθον καὶ ἦραν τὸ πτῶμα αὐτοῦ καὶ ἔθηκαν αὐτὸ ἐν μνημείῳ.,"καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἦραν τὸ ⸀πτῶμα καὶ ἔθαψαν ⸀αὐτόν, καὶ ἐλθόντες ἀπήγγειλαν τῷ Ἰησοῦ."
Mark 6:32,Matt 14:13,13,19,0.332866,0.330791,0.221465,0.444444,0.397556,21.704611,matt_expands;substitution;reordering,10,1,6,και;ο,εις;εν;ερημος;ιδιος;και;κατα;ο;πλοιον;τοπος,απερχομαι,ακολουθεω;ακουω;αναχωρεω;απο;αυτος;δε;εκειθεν;ιησους;οχλος;πεζη;πολις,1,1,καὶ ἀπῆλθον ⸂ἐν τῷ πλοίῳ εἰς ἔρημον τόπον⸃ κατʼ ἰδίαν.,⸂Ἀκούσας δὲ⸃ ὁ Ἰησοῦς ἀνεχώρησεν ἐκεῖθεν ἐν πλοίῳ εἰς ἔρημον τόπον κατʼ ἰδίαν· καὶ ἀκούσαντες οἱ ὄχλοι ἠκολούθησαν αὐτῷ πεζῇ ἀπὸ τῶν πόλεων.
Mark 6:34,Matt 14:14,13,19,0.352508,0.331977,0.273529,0.5,0.347363,21.772748,mark_expands;substitution,0,8,3,,αυτος;εξερχομαι;επι;και;οραω;οχλος;πολυς;σπλαγχνιζομαι,αρχω;διδασκω;ειμι;εχω;μη;οτι;ποιμην;προβατον;ως,αρρωστος;θεραπευω;ο,2,1,"καὶ ἐξελθὼν ⸀εἶδεν πολὺν ὄχλον, καὶ ἐσπλαγχνίσθη ἐπʼ ⸀αὐτοὺς ὅτι ἦσαν ὡς πρόβατα μὴ ἔχοντα ποιμένα, καὶ ἤρξατο διδάσκειν αὐτοὺς πολλά.","καὶ ⸀ἐξελθὼν εἶδεν πολὺν ὄχλον, καὶ ἐσπλαγχνίσθη ἐπʼ αὐτοῖς καὶ ἐθεράπευσεν τοὺς ἀρρώστους αὐτῶν."
Mark 6:35,Matt 14:15,13,19,0.413327,0.440715,0.275144,0.533333,0.395524,38.093614,substitution;reordering,2,2,16,ωρα,αυτος;γινομαι;ειμι;ερημος;ηδη;και;λεγω;μαθητης;ο;προσερχομαι;τοπος;ωρα,οτι;πολυς,αγοραζω;απερχομαι;απολυω;βρωμα;δε;εαυτου;εις;ινα;κωμη;οχλος;οψια;παρερχομαι,1,1,"Καὶ ἤδη ὥρας πολλῆς γενομένης προσελθόντες αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ἔλεγον ὅτι Ἔρημός ἐστιν ὁ τόπος, καὶ ἤδη ὥρα πολλή·","ὀψίας δὲ γενομένης προσῆλθον αὐτῷ οἱ ⸀μαθηταὶ λέγοντες· Ἔρημός ἐστιν ὁ τόπος καὶ ἡ ὥρα ἤδη παρῆλθεν· ἀπόλυσον τοὺς ὄχλους, ἵνα ἀπελθόντες εἰς τὰς κώμας ἀγοράσωσιν ἑαυτοῖς βρώματα."
Mark 6:37,Matt 14:16,13,19,0.221946,0.252999,0.061484,0.3,0.327253,14.970372,mark_expands;reordering,4,12,1,απερχομαι,απερχομαι;αυτος;δε;διδωμι;εσθιω;λεγω;ο;συ,αγοραζω;αποκρινομαι;αρτος;δηναριον;διακοσιοι;και,εχω;ιησους;ου;χρεια,1,0,ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Δότε αὐτοῖς ὑμεῖς φαγεῖν. καὶ λέγουσιν αὐτῷ· Ἀπελθόντες ἀγοράσωμεν δηναρίων διακοσίων ἄρτους καὶ ⸀δώσομεν αὐτοῖς φαγεῖν;,ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· Οὐ χρείαν ἔχουσιν ἀπελθεῖν· δότε αὐτοῖς ὑμεῖς φαγεῖν.
Mark 6:38,Matt 14:17,13,19,0.404611,0.52259,0.060426,0.526316,0.49076,27.219948,mark_expands;reordering,4,6,1,πεντε,αρτος;αυτος;δε;δυο;εχω;ιχθυς;και;λεγω;ο;πεντε,γινωσκω;οραω;ποσος;υπαγω,ει;μη;ου;ωδε,2,0,"ὁ δὲ λέγει αὐτοῖς· Πόσους ⸂ἔχετε ἄρτους⸃; ⸀ὑπάγετε ἴδετε. καὶ γνόντες λέγουσιν· Πέντε, καὶ δύο ἰχθύας.",οἱ δὲ λέγουσιν αὐτῷ· Οὐκ ἔχομεν ὧδε εἰ μὴ πέντε ἄρτους καὶ δύο ἰχθύας.
Mark 6:41,Matt 14:19,13,20,0.453166,0.475417,0.31805,0.571429,0.454299,49.736084,matt_expands;substitution;reordering,7,5,10,αρτος;ο,αναβλεπω;αρτος;διδωμι;δυο;εις;ευλογεω;ιχθυς;και;λαμβανω;μαθητης;ο;ουρανος;πεντε,αυτος;ινα;κατακλαω;μεριζω;παρατιθημι;πας,ανακλινω;δε;επι;κελευω;κλαω;οχλος;χορτος,2,1,"καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν.","καὶ κελεύσας τοὺς ὄχλους ἀνακλιθῆναι ἐπὶ ⸂τοῦ χόρτου⸃, λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κλάσας ἔδωκεν τοῖς μαθηταῖς τοὺς ἄρτους οἱ δὲ μαθηταὶ τοῖς ὄχλοις."
Mark 6:43,Matt 14:20,13,20,0.351974,0.364077,0.178617,0.533333,0.368186,23.274725,matt_expands;substitution;reordering,8,0,5,και;ο,αιρω;δωδεκα;και;κλασμα;κοφινος;ο,απο;ιχθυς;πληρωμα,εσθιω;πας;περισσευω;πληρης;χορταζω,1,0,καὶ ἦραν ⸂κλάσματα δώδεκα κοφίνων πληρώματα⸃ καὶ ἀπὸ τῶν ἰχθύων.,"καὶ ἔφαγον πάντες καὶ ἐχορτάσθησαν, καὶ ἦραν τὸ περισσεῦον τῶν κλασμάτων δώδεκα κοφίνους πλήρεις."
Mark 6:44,Matt 14:21,13,20,0.32063,0.470354,0.0,0.333333,0.423043,19.810984,matt_expands;substitution;reordering,9,0,7,ανηρ;ειμι;εσθιω;ο;πεντακισχιλιοι,ανηρ;ειμι;εσθιω;και;ο;πεντακισχιλιοι,αρτος,γυνη;δε;παιδιον;χωρις;ωσει,1,0,καὶ ἦσαν οἱ φαγόντες ⸂τοὺς ἄρτους⸃ πεντακισχίλιοι ἄνδρες.,οἱ δὲ ἐσθίοντες ἦσαν ἄνδρες ὡσεὶ πεντακισχίλιοι χωρὶς γυναικῶν καὶ παιδίων.
Mark 6:45,Matt 14:22,13,20,0.686799,0.709667,0.52251,0.842105,0.683997,43.458826,mark_expands;substitution;reordering,1,4,2,αυτος,αναγκαζω;απολυω;αυτος;εις;εμβαινω;εως;και;μαθητης;ο;οχλος;περαν;πλοιον;προαγω,βηθσαιδαν;ευθυς;προς,ευθεως;ος,3,2,"Καὶ ⸀εὐθὺς ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον καὶ προάγειν ⸂εἰς τὸ πέραν⸃ πρὸς Βηθσαϊδάν, ἕως αὐτὸς ⸀ἀπολύει τὸν ὄχλον.","Καὶ εὐθέως ⸀ἠνάγκασεν τοὺς μαθητὰς ἐμβῆναι ⸀εἰς πλοῖον καὶ προάγειν αὐτὸν εἰς τὸ πέραν, ἕως οὗ ἀπολύσῃ τοὺς ὄχλους."
Mark 6:47,Matt 14:23,13,20,0.204626,0.238222,0.050652,0.315789,0.216052,17.427331,matt_expands;substitution;reordering,12,0,12,μονος;ο,γινομαι;ειμι;και;μονος;ο;οψια,αυτος;γη;εν;επι;θαλασσα;μεσος;πλοιον,αναβαινω;απολυω;δε;εις;εκει;ιδιος;κατα;ορος;οχλος;προσευχομαι,0,0,"Καὶ ὀψίας γενομένης ἦν τὸ πλοῖον ἐν μέσῳ τῆς θαλάσσης, καὶ αὐτὸς μόνος ἐπὶ τῆς γῆς.",καὶ ἀπολύσας τοὺς ὄχλους ἀνέβη εἰς τὸ ὄρος κατʼ ἰδίαν προσεύξασθαι. ὀψίας δὲ γενομένης μόνος ἦν ἐκεῖ.
Mark 6:48,Matt 14:25,13,20,0.448714,0.43101,0.368339,0.6,0.426747,32.94942,mark_expands,1,18,0,,αυτος;επι;ερχομαι;θαλασσα;νυξ;ο;περιπατεω;προς;τεταρτος;φυλακη,ανεμος;βασανιζω;γαρ;ειμι;ελαυνω;εν;εναντιος;θελω;και;οραω;παρερχομαι;περι,δε,2,3,"καὶ ⸀ἰδὼν αὐτοὺς βασανιζομένους ἐν τῷ ἐλαύνειν, ἦν γὰρ ὁ ἄνεμος ἐναντίος ⸀αὐτοῖς, περὶ τετάρτην φυλακὴν τῆς νυκτὸς ἔρχεται πρὸς αὐτοὺς περιπατῶν ἐπὶ τῆς θαλάσσης· καὶ ἤθελεν παρελθεῖν αὐτούς.",τετάρτῃ δὲ φυλακῇ τῆς νυκτὸς ⸀ἦλθεν πρὸς ⸀αὐτοὺς περιπατῶν ἐπὶ ⸂τὴν θάλασσαν⸃.
Mark 6:49,Matt 14:26,13,20,0.39845,0.386482,0.241148,0.588235,0.465988,24.076825,substitution,1,0,6,,αυτος;δε;ειμι;επι;θαλασσα;και;ο;οραω;οτι;περιπατεω;φαντασμα,ανακραζω;δοκεω,απο;κραζω;λεγω;μαθητης;ταρασσω;φοβος,2,2,"οἱ δὲ ἰδόντες αὐτὸν ⸂ἐπὶ τῆς θαλάσσης περιπατοῦντα⸃ ἔδοξαν ⸂ὅτι φάντασμά ἐστιν⸃ καὶ ἀνέκραξαν,","⸂οἱ δὲ μαθηταὶ ἰδόντες αὐτὸν⸃ ἐπὶ ⸂τῆς θαλάσσης⸃ περιπατοῦντα ἐταράχθησαν λέγοντες ὅτι Φάντασμά ἐστιν, καὶ ἀπὸ τοῦ φόβου ἔκραξαν."
Mark 6:50,Matt 14:27,13,20,0.609172,0.628376,0.447714,0.777778,0.589187,28.735412,mark_expands;substitution;reordering,0,4,9,δε;ευθυς;λαλεω,αυτος;δε;εγω;ειμι;ευθυς;θαρσεω;λαλεω;λεγω;μη;ο;φοβεομαι,γαρ;και;μετα;οραω;πας;ταρασσω,ιησους,1,2,"πάντες γὰρ αὐτὸν εἶδον καὶ ἐταράχθησαν. ⸂ὁ δὲ εὐθὺς⸃ ἐλάλησεν μετʼ αὐτῶν, καὶ λέγει αὐτοῖς· Θαρσεῖτε, ἐγώ εἰμι, μὴ φοβεῖσθε.","⸀εὐθὺς δὲ ἐλάλησεν ⸂αὐτοῖς ὁ Ἰησοῦς⸃ λέγων· Θαρσεῖτε, ἐγώ εἰμι· μὴ φοβεῖσθε."
Mark 6:51,Matt 14:32,13,21,0.555029,0.538801,0.48333,0.727273,0.462816,23.380539,mark_expands,0,9,0,,αναβαινω;ανεμος;αυτος;εις;και;κοπαζω;ο;πλοιον,εαυτου;εκ;εν;εξιστημι;λιαν;περισσος;προς,,2,1,"καὶ ἀνέβη πρὸς αὐτοὺς εἰς τὸ πλοῖον, καὶ ἐκόπασεν ὁ ἄνεμος. καὶ λίαν ⸂ἐκ περισσοῦ⸃ ἐν ἑαυτοῖς ⸀ἐξίσταντο,",καὶ ⸀ἀναβάντων αὐτῶν εἰς τὸ πλοῖον ἐκόπασεν ὁ ἄνεμος.
Mark 6:53,Matt 14:34,13,21,0.54469,0.73762,0.0,0.666667,0.794275,21.84256,mark_expands;reordering,1,3,0,ερχομαι,γεννησαρετ;γη;διαπεραω;εις;επι;ερχομαι;και;ο,προσορμιζομαι,,1,1,Καὶ διαπεράσαντες ⸂ἐπὶ τὴν γῆν ἦλθον εἰς⸃ Γεννησαρὲτ καὶ προσωρμίσθησαν.,Καὶ διαπεράσαντες ἦλθον ⸂ἐπὶ τὴν γῆν εἰς⸃ Γεννησαρέτ.
Mark 6:55,Matt 14:35,13,21,0.16154,0.157517,0.048626,0.3,0.18501,14.532913,mark_expands;substitution;reordering,0,5,15,ο,εκεινος;εχω;και;κακως;ο;ολος,ακουω;αρχω;ειμι;επι;κραβαττος;οπου;οτι;περιτρεχω;περιφερω;χωρα,ανηρ;αποστελλω;αυτος;εις;επιγινωσκω;πας;περιχωρος;προσφερω;τοπος,2,0,⸂περιέδραμον ὅλην τὴν χώραν ἐκείνην καὶ⸃ ἤρξαντο ἐπὶ τοῖς κραβάττοις τοὺς κακῶς ἔχοντας περιφέρειν ὅπου ἤκουον ⸀ὅτι ἐστίν.,"καὶ ἐπιγνόντες αὐτὸν οἱ ἄνδρες τοῦ τόπου ἐκείνου ἀπέστειλαν εἰς ὅλην τὴν περίχωρον ἐκείνην, καὶ προσήνεγκαν αὐτῷ πάντας τοὺς κακῶς ἔχοντας,"
Mark 6:56,Matt 14:36,13,21,0.249669,0.257703,0.11128,0.380952,0.296926,23.133965,mark_expands;substitution;reordering,0,20,4,απτω,απτω;αυτος;ιματιον;ινα;και;κρασπεδον;ο;οσος;παρακαλεω,αγορα;αγρος;αν;ασθενεω;εις;εισπορευομαι;εν;η;καν;κωμη;οπου;πολις;σωζω;τιθημι,διασωζω;μονος,3,0,"καὶ ὅπου ἂν εἰσεπορεύετο εἰς κώμας ἢ ⸂εἰς πόλεις ἢ εἰς⸃ ἀγροὺς ἐν ταῖς ἀγοραῖς ⸀ἐτίθεσαν τοὺς ἀσθενοῦντας, καὶ παρεκάλουν αὐτὸν ἵνα κἂν τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ ἅψωνται· καὶ ὅσοι ἂν ⸀ἥψαντο αὐτοῦ ἐσῴζοντο.",καὶ παρεκάλουν αὐτὸν ἵνα μόνον ἅψωνται τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ· καὶ ὅσοι ἥψαντο διεσώθησαν.
