source_book,source_ref,target_book,target_ref,target_window_n_verses,rank_within_source,score,token_weighted_jaccard,stem_weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_bigrams,shared_trigrams,shared_fourgrams,shared_content_token_count,shared_content_tokens,source_text,target_text,negative_space_flags,formula_risk,case_priority_score
Gal,Gal 5:14,Luke,Luke 10:26-27,2,,0.3214,0.1623,0.1615,9,0.5625,5,τον πλησιον σου ωσ σεαυτον,5,3,2,4,αγαπησεισ πλησιον σεαυτον ωσ,"ὁ γὰρ πᾶς νόμος ἐν ἑνὶ λόγῳ ⸀πεπλήρωται, ἐν τῷ· Ἀγαπήσεις τὸν πλησίον σου ὡς ⸀σεαυτόν.","ὁ δὲ εἶπεν πρὸς αὐτόν· Ἐν τῷ νόμῳ τί γέγραπται; πῶς ἀναγινώσκεις; ὁ δὲ ἀποκριθεὶς εἶπεν· Ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης ⸀τῆς καρδίας σου καὶ ⸂ἐν ὅλῃ τῇ ψυχῇ⸃ σου καὶ ⸂ἐν ὅλῃ τῇ ἰσχύϊ⸃ σου καὶ ⸂ἐν ὅλῃ τῇ διανοίᾳ⸃ σου, καὶ τὸν πλησίον σου ὡς σεαυτόν.",nonfungible_phrase_candidate,low,0.6064
Col,Col 2:15,Luke,Luke 12:8-11,4,7.0,0.3213,0.0932,0.0959,5,0.3846,5,τασ αρχασ και τασ εξουσιασ,5,3,2,4,αρχασ αυτω εξουσιασ τασ,"ἀπεκδυσάμενος τὰς ἀρχὰς καὶ τὰς ἐξουσίας ἐδειγμάτισεν ἐν παρρησίᾳ, θριαμβεύσας αὐτοὺς ἐν αὐτῷ.","Λέγω δὲ ὑμῖν, πᾶς ὃς ἂν ⸀ὁμολογήσῃ ἐν ἐμοὶ ἔμπροσθεν τῶν ἀνθρώπων, καὶ ὁ υἱὸς τοῦ ἀνθρώπου ὁμολογήσει ἐν αὐτῷ ἔμπροσθεν τῶν ἀγγέλων τοῦ θεοῦ· ὁ δὲ ἀρνησάμενός με ἐνώπιον τῶν ἀνθρώπων ἀπαρνηθήσεται ἐνώπιον τῶν ἀγγέλων τοῦ θεοῦ. καὶ πᾶς ὃς ἐρεῖ λόγον εἰς τὸν υἱὸν τοῦ ἀνθρώπου, ἀφεθήσεται αὐτῷ τῷ δὲ εἰς τὸ ἅγιον πνεῦμα βλασφημήσαντι οὐκ ἀφεθήσεται. ὅταν δὲ ⸀εἰσφέρωσιν ὑμᾶς ἐπὶ τὰς συναγωγὰς καὶ τὰς ἀρχὰς καὶ τὰς ἐξουσίας, μὴ ⸀μεριμνήσητε πῶς ⸂ἢ τί⸃ ἀπολογήσησθε ἢ τί εἴπητε·",nonfungible_phrase_candidate,low,0.6063
1Cor,1Cor 6:16,Matt,Matt 19:5,1,2.0,0.3202,0.211,0.2131,7,0.3684,5,οι δυο εισ σαρκα μιαν,4,3,2,5,δυο εισ εσονται μιαν σαρκα,"⸀ἢ οὐκ οἴδατε ὅτι ὁ κολλώμενος τῇ πόρνῃ ἓν σῶμά ἐστιν; Ἔσονται γάρ, φησίν, οἱ δύο εἰς σάρκα μίαν.","καὶ εἶπεν· ⸀Ἕνεκα τούτου καταλείψει ἄνθρωπος τὸν πατέρα καὶ τὴν μητέρα καὶ ⸀κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν;",nonfungible_phrase_candidate,low,0.6052
Jas,Jas 2:8,Luke,Luke 10:27,1,,0.3202,0.1684,0.1694,6,0.375,5,τον πλησιον σου ωσ σεαυτον,4,3,2,4,αγαπησεισ πλησιον σεαυτον ωσ,"Εἰ μέντοι νόμον τελεῖτε βασιλικὸν κατὰ τὴν γραφήν Ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν, καλῶς ποιεῖτε·","ὁ δὲ ἀποκριθεὶς εἶπεν· Ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης ⸀τῆς καρδίας σου καὶ ⸂ἐν ὅλῃ τῇ ψυχῇ⸃ σου καὶ ⸂ἐν ὅλῃ τῇ ἰσχύϊ⸃ σου καὶ ⸂ἐν ὅλῃ τῇ διανοίᾳ⸃ σου, καὶ τὸν πλησίον σου ὡς σεαυτόν.",nonfungible_phrase_candidate,low,0.6052
1Cor,1Cor 11:24,Luke,Luke 22:17-19,3,4.0,0.4493,0.3059,0.3064,17,0.8947,6,τουτο ποιειτε εισ την εμην αναμνησιν,11,7,3,9,αναμνησιν εισ εκλασεν εμην εστιν ευχαριστησασ ποιειτε σωμα τουτο,καὶ εὐχαριστήσας ἔκλασεν καὶ ⸀εἶπεν· Τοῦτό μού ἐστιν τὸ σῶμα τὸ ὑπὲρ ⸀ὑμῶν· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν.,"καὶ δεξάμενος ποτήριον εὐχαριστήσας εἶπεν· Λάβετε τοῦτο καὶ διαμερίσατε ⸂εἰς ἑαυτούς⸃· λέγω γὰρ ὑμῖν, ⸀οὐ μὴ πίω ἀπὸ τοῦ ⸂νῦν ἀπὸ τοῦ⸃ γενήματος τῆς ἀμπέλου ἕως ⸀οὗ ἡ βασιλεία τοῦ θεοῦ ἔλθῃ. καὶ λαβὼν ἄρτον εὐχαριστήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς λέγων· Τοῦτό ἐστιν τὸ σῶμά μου ⸂[τὸ ὑπὲρ ὑμῶν διδόμενον· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν.",lord_supper_remembrance,high,0.6043
1John,1John 3:4,John,John 8:34-36,3,3.0,0.3182,0.1463,0.1464,6,0.4,5,πασ ο ποιων την αμαρτιαν,4,3,2,4,αμαρτιαν εστιν πασ ποιων,"Πᾶς ὁ ποιῶν τὴν ἁμαρτίαν καὶ τὴν ἀνομίαν ποιεῖ, καὶ ἡ ἁμαρτία ἐστὶν ἡ ἀνομία.","Ἀπεκρίθη αὐτοῖς ὁ Ἰησοῦς· Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι πᾶς ὁ ποιῶν τὴν ἁμαρτίαν δοῦλός ἐστιν τῆς ἁμαρτίας· ὁ δὲ δοῦλος οὐ μένει ἐν τῇ οἰκίᾳ εἰς τὸν αἰῶνα· ⸀ὁ υἱὸς μένει εἰς τὸν αἰῶνα. ἐὰν οὖν ὁ υἱὸς ὑμᾶς ἐλευθερώσῃ, ὄντως ἐλεύθεροι ἔσεσθε.",nonfungible_phrase_candidate,low,0.6032
1John,1John 3:14,John,John 5:24,1,1.0,0.2425,0.0937,0.094,7,0.3333,6,εκ του θανατου εισ την ζωην,5,4,3,3,εισ ζωην θανατου,"ἡμεῖς οἴδαμεν ὅτι μεταβεβήκαμεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν, ὅτι ἀγαπῶμεν τοὺς ἀδελφούς· ὁ μὴ ⸀ἀγαπῶν μένει ἐν τῷ θανάτῳ.","Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι ὁ τὸν λόγον μου ἀκούων καὶ πιστεύων τῷ πέμψαντί με ἔχει ζωὴν αἰώνιον, καὶ εἰς κρίσιν οὐκ ἔρχεται ἀλλὰ μεταβέβηκεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν.",nonfungible_phrase_candidate,low,0.6025
1John,1John 3:14,John,John 5:21-24,4,2.0,0.2423,0.0584,0.058,7,0.3333,6,εκ του θανατου εισ την ζωην,6,4,3,4,εισ ζωην θανατου τουσ,"ἡμεῖς οἴδαμεν ὅτι μεταβεβήκαμεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν, ὅτι ἀγαπῶμεν τοὺς ἀδελφούς· ὁ μὴ ⸀ἀγαπῶν μένει ἐν τῷ θανάτῳ.","ὥσπερ γὰρ ὁ πατὴρ ἐγείρει τοὺς νεκροὺς καὶ ζῳοποιεῖ, οὕτως καὶ ὁ υἱὸς οὓς θέλει ζῳοποιεῖ. οὐδὲ γὰρ ὁ πατὴρ κρίνει οὐδένα, ἀλλὰ τὴν κρίσιν πᾶσαν δέδωκεν τῷ υἱῷ, ἵνα πάντες τιμῶσι τὸν υἱὸν καθὼς τιμῶσι τὸν πατέρα. ὁ μὴ τιμῶν τὸν υἱὸν οὐ τιμᾷ τὸν πατέρα τὸν πέμψαντα αὐτόν. Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι ὁ τὸν λόγον μου ἀκούων καὶ πιστεύων τῷ πέμψαντί με ἔχει ζωὴν αἰώνιον, καὶ εἰς κρίσιν οὐκ ἔρχεται ἀλλὰ μεταβέβηκεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν.",nonfungible_phrase_candidate,low,0.6023
Col,Col 2:15,Luke,Luke 12:9-12,4,8.0,0.3172,0.097,0.0998,6,0.4615,5,τασ αρχασ και τασ εξουσιασ,4,3,2,4,αρχασ αυτω εξουσιασ τασ,"ἀπεκδυσάμενος τὰς ἀρχὰς καὶ τὰς ἐξουσίας ἐδειγμάτισεν ἐν παρρησίᾳ, θριαμβεύσας αὐτοὺς ἐν αὐτῷ.","ὁ δὲ ἀρνησάμενός με ἐνώπιον τῶν ἀνθρώπων ἀπαρνηθήσεται ἐνώπιον τῶν ἀγγέλων τοῦ θεοῦ. καὶ πᾶς ὃς ἐρεῖ λόγον εἰς τὸν υἱὸν τοῦ ἀνθρώπου, ἀφεθήσεται αὐτῷ τῷ δὲ εἰς τὸ ἅγιον πνεῦμα βλασφημήσαντι οὐκ ἀφεθήσεται. ὅταν δὲ ⸀εἰσφέρωσιν ὑμᾶς ἐπὶ τὰς συναγωγὰς καὶ τὰς ἀρχὰς καὶ τὰς ἐξουσίας, μὴ ⸀μεριμνήσητε πῶς ⸂ἢ τί⸃ ἀπολογήσησθε ἢ τί εἴπητε· τὸ γὰρ ἅγιον πνεῦμα διδάξει ὑμᾶς ἐν αὐτῇ τῇ ὥρᾳ ἃ δεῖ εἰπεῖν.",nonfungible_phrase_candidate,low,0.6022
Eph,Eph 6:2,Luke,Luke 18:19-20,2,12.0,0.4169,0.1276,0.129,7,0.5385,7,τιμα τον πατερα σου και την μητερα,6,5,4,3,μητερα πατερα τιμα,"τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,","εἶπεν δὲ αὐτῷ ὁ Ἰησοῦς· Τί με λέγεις ἀγαθόν; οὐδεὶς ἀγαθὸς εἰ μὴ εἷς ὁ θεός. τὰς ἐντολὰς οἶδας· Μὴ μοιχεύσῃς, Μὴ φονεύσῃς, Μὴ κλέψῃς, Μὴ ψευδομαρτυρήσῃς, Τίμα τὸν πατέρα σου καὶ τὴν ⸀μητέρα.",exod20_honor_father_mother,high,0.6019
1Cor,1Cor 6:16,Mark,Mark 10:8-9,2,3.0,0.3163,0.2043,0.2043,6,0.3158,5,οι δυο εισ σαρκα μιαν,4,3,2,5,δυο εισ εσονται μιαν σαρκα,"⸀ἢ οὐκ οἴδατε ὅτι ὁ κολλώμενος τῇ πόρνῃ ἓν σῶμά ἐστιν; Ἔσονται γάρ, φησίν, οἱ δύο εἰς σάρκα μίαν.",καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ· ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω.,nonfungible_phrase_candidate,low,0.6013
1Tim,1Tim 5:18,Luke,Luke 10:7-8,2,2.0,0.3163,0.1471,0.1356,7,0.4667,5,ο εργατησ του μισθου αυτου,4,3,2,3,αξιοσ εργατησ μισθου,"λέγει γὰρ ἡ γραφή· Βοῦν ἀλοῶντα οὐ φιμώσεις, καί· Ἄξιος ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ.","ἐν αὐτῇ δὲ τῇ οἰκίᾳ μένετε, ἐσθίοντες καὶ πίνοντες τὰ παρʼ αὐτῶν, ἄξιος γὰρ ὁ ἐργάτης τοῦ μισθοῦ ⸀αὐτοῦ. μὴ μεταβαίνετε ἐξ οἰκίας εἰς οἰκίαν. καὶ εἰς ἣν ἂν πόλιν εἰσέρχησθε καὶ δέχωνται ὑμᾶς, ἐσθίετε τὰ παρατιθέμενα ὑμῖν,",nonfungible_phrase_candidate,low,0.6013
Col,Col 2:15,Luke,Luke 12:11-14,4,9.0,0.3148,0.0933,0.0936,7,0.5385,5,τασ αρχασ και τασ εξουσιασ,4,3,2,4,αρχασ αυτω εξουσιασ τασ,"ἀπεκδυσάμενος τὰς ἀρχὰς καὶ τὰς ἐξουσίας ἐδειγμάτισεν ἐν παρρησίᾳ, θριαμβεύσας αὐτοὺς ἐν αὐτῷ.","ὅταν δὲ ⸀εἰσφέρωσιν ὑμᾶς ἐπὶ τὰς συναγωγὰς καὶ τὰς ἀρχὰς καὶ τὰς ἐξουσίας, μὴ ⸀μεριμνήσητε πῶς ⸂ἢ τί⸃ ἀπολογήσησθε ἢ τί εἴπητε· τὸ γὰρ ἅγιον πνεῦμα διδάξει ὑμᾶς ἐν αὐτῇ τῇ ὥρᾳ ἃ δεῖ εἰπεῖν. Εἶπεν δέ τις ⸂ἐκ τοῦ ὄχλου αὐτῷ⸃· Διδάσκαλε, εἰπὲ τῷ ἀδελφῷ μου μερίσασθαι μετʼ ἐμοῦ τὴν κληρονομίαν. ὁ δὲ εἶπεν αὐτῷ· Ἄνθρωπε, τίς με κατέστησεν ⸀κριτὴν ἢ μεριστὴν ἐφʼ ὑμᾶς;",nonfungible_phrase_candidate,low,0.5998
Eph,Eph 6:2,Mark,Mark 10:19-20,2,,0.4136,0.1214,0.1222,7,0.5385,7,τιμα τον πατερα σου και την μητερα,6,5,4,3,μητερα πατερα τιμα,"τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,","τὰς ἐντολὰς οἶδας· Μὴ ⸂φονεύσῃς, Μὴ μοιχεύσῃς⸃, Μὴ κλέψῃς, Μὴ ψευδομαρτυρήσῃς, Μὴ ἀποστερήσῃς, Τίμα τὸν πατέρα σου καὶ τὴν μητέρα. ὁ δὲ ⸀ἔφη αὐτῷ· Διδάσκαλε, ταῦτα πάντα ἐφυλαξάμην ἐκ νεότητός μου.",exod20_honor_father_mother,high,0.5986
Col,Col 2:15,Luke,Luke 12:10-13,4,10.0,0.3129,0.0897,0.09,7,0.5385,5,τασ αρχασ και τασ εξουσιασ,4,3,2,4,αρχασ αυτω εξουσιασ τασ,"ἀπεκδυσάμενος τὰς ἀρχὰς καὶ τὰς ἐξουσίας ἐδειγμάτισεν ἐν παρρησίᾳ, θριαμβεύσας αὐτοὺς ἐν αὐτῷ.","καὶ πᾶς ὃς ἐρεῖ λόγον εἰς τὸν υἱὸν τοῦ ἀνθρώπου, ἀφεθήσεται αὐτῷ τῷ δὲ εἰς τὸ ἅγιον πνεῦμα βλασφημήσαντι οὐκ ἀφεθήσεται. ὅταν δὲ ⸀εἰσφέρωσιν ὑμᾶς ἐπὶ τὰς συναγωγὰς καὶ τὰς ἀρχὰς καὶ τὰς ἐξουσίας, μὴ ⸀μεριμνήσητε πῶς ⸂ἢ τί⸃ ἀπολογήσησθε ἢ τί εἴπητε· τὸ γὰρ ἅγιον πνεῦμα διδάξει ὑμᾶς ἐν αὐτῇ τῇ ὥρᾳ ἃ δεῖ εἰπεῖν. Εἶπεν δέ τις ⸂ἐκ τοῦ ὄχλου αὐτῷ⸃· Διδάσκαλε, εἰπὲ τῷ ἀδελφῷ μου μερίσασθαι μετʼ ἐμοῦ τὴν κληρονομίαν.",nonfungible_phrase_candidate,low,0.5979
Eph,Eph 6:2,Mark,Mark 10:18-19,2,,0.4128,0.1198,0.121,7,0.5385,7,τιμα τον πατερα σου και την μητερα,6,5,4,3,μητερα πατερα τιμα,"τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,","ὁ δὲ Ἰησοῦς εἶπεν αὐτῷ· Τί με λέγεις ἀγαθόν; οὐδεὶς ἀγαθὸς εἰ μὴ εἷς ὁ θεός. τὰς ἐντολὰς οἶδας· Μὴ ⸂φονεύσῃς, Μὴ μοιχεύσῃς⸃, Μὴ κλέψῃς, Μὴ ψευδομαρτυρήσῃς, Μὴ ἀποστερήσῃς, Τίμα τὸν πατέρα σου καὶ τὴν μητέρα.",exod20_honor_father_mother,high,0.5978
1John,1John 5:13,John,John 1:12,1,1.0,0.3124,0.1809,0.1813,5,0.3125,5,τοισ πιστευουσιν εισ το ονομα,4,3,2,4,εισ ονομα πιστευουσιν τοισ,"Ταῦτα ἔγραψα ⸀ὑμῖν ἵνα εἰδῆτε ὅτι ζωὴν ⸂ἔχετε αἰώνιον⸃, ⸂τοῖς πιστεύουσιν⸃ εἰς τὸ ὄνομα τοῦ υἱοῦ τοῦ θεοῦ.","ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα θεοῦ γενέσθαι, τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ,",nonfungible_phrase_candidate,low,0.5974
Gal,Gal 5:14,Luke,Luke 10:27-28,2,,0.3119,0.1531,0.1524,8,0.5,5,τον πλησιον σου ωσ σεαυτον,4,3,2,4,αγαπησεισ πλησιον σεαυτον ωσ,"ὁ γὰρ πᾶς νόμος ἐν ἑνὶ λόγῳ ⸀πεπλήρωται, ἐν τῷ· Ἀγαπήσεις τὸν πλησίον σου ὡς ⸀σεαυτόν.","ὁ δὲ ἀποκριθεὶς εἶπεν· Ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης ⸀τῆς καρδίας σου καὶ ⸂ἐν ὅλῃ τῇ ψυχῇ⸃ σου καὶ ⸂ἐν ὅλῃ τῇ ἰσχύϊ⸃ σου καὶ ⸂ἐν ὅλῃ τῇ διανοίᾳ⸃ σου, καὶ τὸν πλησίον σου ὡς σεαυτόν. εἶπεν δὲ αὐτῷ· Ὀρθῶς ἀπεκρίθης· τοῦτο ποίει καὶ ζήσῃ.",nonfungible_phrase_candidate,low,0.5969
Eph,Eph 6:2,Mark,Mark 7:10-13,4,,0.4105,0.0899,0.0907,8,0.6154,7,τιμα τον πατερα σου και την μητερα,6,5,4,4,εστιν μητερα πατερα τιμα,"τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,","Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· ὑμεῖς δὲ λέγετε· Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί· Κορβᾶν, ὅ ἐστιν Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς, ⸀οὐκέτι ἀφίετε αὐτὸν οὐδὲν ποιῆσαι τῷ ⸀πατρὶ ἢ τῇ ⸀μητρί, ἀκυροῦντες τὸν λόγον τοῦ θεοῦ τῇ παραδόσει ὑμῶν ᾗ παρεδώκατε· καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε.",exod20_honor_father_mother,high,0.5955
1Cor,1Cor 11:24,Luke,Luke 22:19-21,3,5.0,0.4397,0.2849,0.2916,17,0.8947,6,τουτο ποιειτε εισ την εμην αναμνησιν,11,7,3,9,αναμνησιν εισ εκλασεν εμην εστιν ευχαριστησασ ποιειτε σωμα τουτο,καὶ εὐχαριστήσας ἔκλασεν καὶ ⸀εἶπεν· Τοῦτό μού ἐστιν τὸ σῶμα τὸ ὑπὲρ ⸀ὑμῶν· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν.,"καὶ λαβὼν ἄρτον εὐχαριστήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς λέγων· Τοῦτό ἐστιν τὸ σῶμά μου ⸂[τὸ ὑπὲρ ὑμῶν διδόμενον· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν. ⸄καὶ τὸ ποτήριον ὡσαύτως⸅ μετὰ τὸ δειπνῆσαι, λέγων· Τοῦτο τὸ ποτήριον ἡ καινὴ διαθήκη ἐν τῷ αἵματί μου, τὸ ὑπὲρ ὑμῶν ἐκχυννόμενον]⸃. πλὴν ἰδοὺ ἡ χεὶρ τοῦ παραδιδόντος με μετʼ ἐμοῦ ἐπὶ τῆς τραπέζης·",lord_supper_remembrance,high,0.5947
1John,1John 3:4,John,John 8:33-34,2,4.0,0.3095,0.1297,0.1297,6,0.4,5,πασ ο ποιων την αμαρτιαν,4,3,2,4,αμαρτιαν εστιν πασ ποιων,"Πᾶς ὁ ποιῶν τὴν ἁμαρτίαν καὶ τὴν ἀνομίαν ποιεῖ, καὶ ἡ ἁμαρτία ἐστὶν ἡ ἀνομία.",ἀπεκρίθησαν ⸂πρὸς αὐτόν⸃· Σπέρμα Ἀβραάμ ἐσμεν καὶ οὐδενὶ δεδουλεύκαμεν πώποτε· πῶς σὺ λέγεις ὅτι Ἐλεύθεροι γενήσεσθε; Ἀπεκρίθη αὐτοῖς ὁ Ἰησοῦς· Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι πᾶς ὁ ποιῶν τὴν ἁμαρτίαν δοῦλός ἐστιν τῆς ἁμαρτίας·,nonfungible_phrase_candidate,low,0.5945
Eph,Eph 6:2,Mark,Mark 7:7-10,4,,0.409,0.0969,0.1384,7,0.5385,7,τιμα τον πατερα σου και την μητερα,6,5,4,3,μητερα πατερα τιμα,"τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,","μάτην δὲ σέβονταί με, διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων· ⸀ἀφέντες τὴν ἐντολὴν τοῦ θεοῦ κρατεῖτε τὴν παράδοσιν τῶν ⸀ἀνθρώπων. Καὶ ἔλεγεν αὐτοῖς· Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν ⸀τηρήσητε· Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω·",exod20_honor_father_mother,high,0.594
1Tim,1Tim 5:18,Luke,Luke 10:6-7,2,3.0,0.3086,0.1319,0.1218,8,0.5333,5,ο εργατησ του μισθου αυτου,4,3,2,3,αξιοσ εργατησ μισθου,"λέγει γὰρ ἡ γραφή· Βοῦν ἀλοῶντα οὐ φιμώσεις, καί· Ἄξιος ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ.","καὶ ἐὰν ⸂ᾖ ἐκεῖ⸃ υἱὸς εἰρήνης, ἐπαναπαήσεται ἐπʼ αὐτὸν ἡ εἰρήνη ὑμῶν· εἰ δὲ μήγε, ἐφʼ ὑμᾶς ἀνακάμψει. ἐν αὐτῇ δὲ τῇ οἰκίᾳ μένετε, ἐσθίοντες καὶ πίνοντες τὰ παρʼ αὐτῶν, ἄξιος γὰρ ὁ ἐργάτης τοῦ μισθοῦ ⸀αὐτοῦ. μὴ μεταβαίνετε ἐξ οἰκίας εἰς οἰκίαν.",nonfungible_phrase_candidate,low,0.5936
Eph,Eph 6:2,Luke,Luke 18:19-21,3,,0.4084,0.1114,0.1125,7,0.5385,7,τιμα τον πατερα σου και την μητερα,6,5,4,3,μητερα πατερα τιμα,"τίμα τὸν πατέρα σου καὶ τὴν μητέρα, ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,","εἶπεν δὲ αὐτῷ ὁ Ἰησοῦς· Τί με λέγεις ἀγαθόν; οὐδεὶς ἀγαθὸς εἰ μὴ εἷς ὁ θεός. τὰς ἐντολὰς οἶδας· Μὴ μοιχεύσῃς, Μὴ φονεύσῃς, Μὴ κλέψῃς, Μὴ ψευδομαρτυρήσῃς, Τίμα τὸν πατέρα σου καὶ τὴν ⸀μητέρα. ὁ δὲ εἶπεν· Ταῦτα πάντα ⸀ἐφύλαξα ἐκ νεότητος ⸀μου.",exod20_honor_father_mother,high,0.5934
Gal,Gal 5:14,Matt,Matt 19:19,1,2.0,0.4832,0.3214,0.3199,6,0.4615,6,αγαπησεισ τον πλησιον σου ωσ σεαυτον,5,4,3,4,αγαπησεισ πλησιον σεαυτον ωσ,"ὁ γὰρ πᾶς νόμος ἐν ἑνὶ λόγῳ ⸀πεπλήρωται, ἐν τῷ· Ἀγαπήσεις τὸν πλησίον σου ὡς ⸀σεαυτόν.","Τίμα τὸν πατέρα καὶ τὴν μητέρα, καὶ Ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν.",lev19_love_neighbor,high,0.5932
1John,1John 3:14,John,John 5:23-24,2,3.0,0.2332,0.0695,0.0692,7,0.3333,6,εκ του θανατου εισ την ζωην,6,4,3,3,εισ ζωην θανατου,"ἡμεῖς οἴδαμεν ὅτι μεταβεβήκαμεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν, ὅτι ἀγαπῶμεν τοὺς ἀδελφούς· ὁ μὴ ⸀ἀγαπῶν μένει ἐν τῷ θανάτῳ.","ἵνα πάντες τιμῶσι τὸν υἱὸν καθὼς τιμῶσι τὸν πατέρα. ὁ μὴ τιμῶν τὸν υἱὸν οὐ τιμᾷ τὸν πατέρα τὸν πέμψαντα αὐτόν. Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι ὁ τὸν λόγον μου ἀκούων καὶ πιστεύων τῷ πέμψαντί με ἔχει ζωὴν αἰώνιον, καὶ εἰς κρίσιν οὐκ ἔρχεται ἀλλὰ μεταβέβηκεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν.",nonfungible_phrase_candidate,low,0.5932
1Cor,1Cor 11:24,Luke,Luke 22:18-20,3,6.0,0.4356,0.278,0.2822,17,0.8947,6,τουτο ποιειτε εισ την εμην αναμνησιν,11,7,3,9,αναμνησιν εισ εκλασεν εμην εστιν ευχαριστησασ ποιειτε σωμα τουτο,καὶ εὐχαριστήσας ἔκλασεν καὶ ⸀εἶπεν· Τοῦτό μού ἐστιν τὸ σῶμα τὸ ὑπὲρ ⸀ὑμῶν· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν.,"λέγω γὰρ ὑμῖν, ⸀οὐ μὴ πίω ἀπὸ τοῦ ⸂νῦν ἀπὸ τοῦ⸃ γενήματος τῆς ἀμπέλου ἕως ⸀οὗ ἡ βασιλεία τοῦ θεοῦ ἔλθῃ. καὶ λαβὼν ἄρτον εὐχαριστήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς λέγων· Τοῦτό ἐστιν τὸ σῶμά μου ⸂[τὸ ὑπὲρ ὑμῶν διδόμενον· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν. ⸄καὶ τὸ ποτήριον ὡσαύτως⸅ μετὰ τὸ δειπνῆσαι, λέγων· Τοῦτο τὸ ποτήριον ἡ καινὴ διαθήκη ἐν τῷ αἵματί μου, τὸ ὑπὲρ ὑμῶν ἐκχυννόμενον]⸃.",lord_supper_remembrance,high,0.5906
